"Country code","Country name","Series code","Series name","SCALE","Decimals","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"HKG","Hong Kong SAR, China","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"24.574210000000001","..","..","..","..","..","..","..","..","..","24.574210000000001","..","..","..","..","..","..","..","..","..","..",".."
"HND","Honduras","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"3.043469","..","..","..","..","..","..","..","..","..","3.043469","..","..","..","..","..","..","..","..","..","..",".."
"HRV","Croatia","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"3.0302539999999998","..","..","..","..","..","..","..","..","..","3.0302539999999998","..","..","..","..","..","..","..","..","..","..",".."
"HTI","Haiti","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"3.940334","..","..","..","..","..","..","..","..","..","3.940334","..","..","..","..","..","..","..","..","..","..",".."
"HUN","Hungary","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0","..","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","..","..","..",".."
"IDN","Indonesia","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"5.4976739999999999","..","..","..","..","..","..","..","..","..","5.4976739999999999","..","..","..","..","..","..","..","..","..","..",".."
"IMY","Isle of Man","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"12.088760000000001","..","..","..","..","..","..","..","..","..","12.088760000000001","..","..","..","..","..","..","..","..","..","..",".."
"IND","India","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"1.3534569999999999","..","..","..","..","..","..","..","..","..","1.3534569999999999","..","..","..","..","..","..","..","..","..","..",".."
"IRL","Ireland","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"3.9589409999999998","..","..","..","..","..","..","..","..","..","3.9589409999999998","..","..","..","..","..","..","..","..","..","..",".."
"IRN","Iran, Islamic Rep.","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"1.5933360000000001","..","..","..","..","..","..","..","..","..","1.5933360000000001","..","..","..","..","..","..","..","..","..","..",".."
"IRQ","Iraq","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"4.0245759999999997","..","..","..","..","..","..","..","..","..","4.0245759999999997","..","..","..","..","..","..","..","..","..","..",".."
"ISL","Iceland","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"4.41256","..","..","..","..","..","..","..","..","..","4.41256","..","..","..","..","..","..","..","..","..","..",".."
"ISR","Israel","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"7.8237430000000003","..","..","..","..","..","..","..","..","..","7.8237430000000003","..","..","..","..","..","..","..","..","..","..",".."
"ITA","Italy","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"5.188644","..","..","..","..","..","..","..","..","..","5.188644","..","..","..","..","..","..","..","..","..","..",".."
"JAM","Jamaica","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"7.1411610000000003","..","..","..","..","..","..","..","..","..","7.1411610000000003","..","..","..","..","..","..","..","..","..","..",".."
"JOR","Jordan","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"2.007511","..","..","..","..","..","..","..","..","..","2.007511","..","..","..","..","..","..","..","..","..","..",".."
"JPN","Japan","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"5.8838660000000003","..","..","..","..","..","..","..","..","..","5.8838660000000003","..","..","..","..","..","..","..","..","..","..",".."
"KAZ","Kazakhstan","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"6.6780619999999997","..","..","..","..","..","..","..","..","..","6.6780619999999997","..","..","..","..","..","..","..","..","..","..",".."
"KEN","Kenya","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0.23949780000000001","..","..","..","..","..","..","..","..","..","0.23949780000000001","..","..","..","..","..","..","..","..","..","..",".."
"KGZ","Kyrgyz Republic","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0","..","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","..","..","..",".."
"KHM","Cambodia","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"3.8423029999999998","..","..","..","..","..","..","..","..","..","3.8423029999999998","..","..","..","..","..","..","..","..","..","..",".."
"KIR","Kiribati","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"96.669589999999999","..","..","..","..","..","..","..","..","..","96.669589999999999","..","..","..","..","..","..","..","..","..","..",".."
"KNA","St. Kitts and Nevis","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"19.020630000000001","..","..","..","..","..","..","..","..","..","19.020630000000001","..","..","..","..","..","..","..","..","..","..",".."
"KOR","Korea, Rep.","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"4.3018359999999998","..","..","..","..","..","..","..","..","..","4.3018359999999998","..","..","..","..","..","..","..","..","..","..",".."
"KSV","Kosovo","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"KWT","Kuwait","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"8.8596249999999994","..","..","..","..","..","..","..","..","..","8.8596249999999994","..","..","..","..","..","..","..","..","..","..",".."
"LAC","Latin America & Caribbean","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"1.51022492190401","..","..","..","..","..","..","..","..","..","1.5094795093934099","..","..","..","..","..","..","..","..","..","..",".."
"LAO","Lao PDR","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0","..","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","..","..","..",".."
"LBN","Lebanon","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"1.7423010000000001","..","..","..","..","..","..","..","..","..","1.7423010000000001","..","..","..","..","..","..","..","..","..","..",".."
"LBR","Liberia","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0.35215059999999998","..","..","..","..","..","..","..","..","..","0.35215059999999998","..","..","..","..","..","..","..","..","..","..",".."
"LBY","Libya","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0.77586759999999999","..","..","..","..","..","..","..","..","..","0.77586759999999999","..","..","..","..","..","..","..","..","..","..",".."
"LCA","St. Lucia","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"8.0242930000000001","..","..","..","..","..","..","..","..","..","8.0242930000000001","..","..","..","..","..","..","..","..","..","..",".."
"LIC","Low income","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0.72424377747567104","..","..","..","..","..","..","..","..","..","0.72468166120616895","..","..","..","..","..","..","..","..","..","..",".."
"LIE","Liechtenstein","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0","..","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","..","..","..",".."
"LKA","Sri Lanka","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"3.8685290000000001","..","..","..","..","..","..","..","..","..","3.8685290000000001","..","..","..","..","..","..","..","..","..","..",".."
"LMC","Lower middle income","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"1.69769118902467","..","..","..","..","..","..","..","..","..","1.7251783685761199","..","..","..","..","..","..","..","..","..","..",".."
"LMY","Low & middle income","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"1.33504019130342","..","..","..","..","..","..","..","..","..","1.6076827709183601","..","..","..","..","..","..","..","..","..","..",".."
"LSO","Lesotho","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0","..","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","..","..","..",".."
"LTU","Lithuania","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"1.9116679999999999","..","..","..","..","..","..","..","..","..","1.9116679999999999","..","..","..","..","..","..","..","..","..","..",".."
"LUX","Luxembourg","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0","..","..","..","..","..","..","..","..","..","0","..","..","..","..","..","..","..","..","..","..",".."
"LVA","Latvia","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"3.0315439999999998","..","..","..","..","..","..","..","..","..","3.0315439999999998","..","..","..","..","..","..","..","..","..","..",".."
"MAC","Macao SAR, China","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"35.388759999999998","..","..","..","..","..","..","..","..","..","35.388759999999998","..","..","..","..","..","..","..","..","..","..",".."
"MAF","St. Martin (French part)","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"MAR","Morocco","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"0.70265900000000003","..","..","..","..","..","..","..","..","..","0.70265900000000003","..","..","..","..","..","..","..","..","..","..",".."
"MCO","Monaco","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"100","..","..","..","..","..","..","..","..","..","100","..","..","..","..","..","..","..","..","..","..",".."
"MDA","Moldova","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"1.302524","..","..","..","..","..","..","..","..","..","1.302524","..","..","..","..","..","..","..","..","..","..",".."
"MDG","Madagascar","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"1.338625","..","..","..","..","..","..","..","..","..","1.338625","..","..","..","..","..","..","..","..","..","..",".."
"MDV","Maldives","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"99.999989999999997","..","..","..","..","..","..","..","..","..","99.999989999999997","..","..","..","..","..","..","..","..","..","..",".."
"MEX","Mexico","AG.LND.EL5M.ZS","Land area below 5m (% of land area)",0,1,"2.941872","..","..","..","..","..","..","..","..","..","2.941872","..","..","..","..","..","..","..","..","..","..",".."
